"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-2.347,-0.1336,0.3902,-0.9968,-0.1044,0.9239,-1.6609,0.7258,-0.697,1.6462,-1.7139,-1.8105,-1.4792,0.0694,-0.8484,-0.5278,-0.2468,-0.3028,-0.4132,-1.2307,-0.4396,1.3003,0.4064,-0.056,-0.1631,-1.8096,0.9524,-0.2233,-0.1291,0.1346,-0.1514,0.5485,-1.101,-0.4036,0.4795,1.3017,-0.8719,-0.8691,-0.9372,1.1357,0.1143,-0.472,-2.3835,0.7057,0.9637,-0.6012,-0.1182,0.0691,-1.0089
-2.8374,0.2524,-0.1499,-1.0018,0.1065,-0.3341,-1.7158,0.7324,0.9065,0.7759,-0.8934,-0.9039,-2.3523,-0.4663,0.0477,-0.7391,-0.1959,0.6543,-0.4433,-0.3287,-1.0393,-0.5079,2.0916,0.9045,0.1592,-0.9417,0.401,-0.4983,-0.3577,0.7899,-0.3808,1.0485,-0.2401,-0.5369,-0.4603,0.5221,-0.4197,0.4008,-0.1505,0.8442,-1.1556,0.5212,-0.7816,-1.1803,-0.2095,0.2521,-0.0549,0.1538,0.6326
-1.4156,-0.7521,0.1503,0.0676,1.0731,0.6548,-0.6618,1.6958,-0.344,0.2576,-0.8827,-0.3543,-1.2125,-0.3632,0.3245,-0.2452,-0.4431,1.4863,0.0956,0.1972,-0.3978,1.0309,2.0477,0.2167,0.5699,0.4392,0.8123,0.1129,-0.1053,0.8191,-1.1251,0.46,-1.3573,-0.1071,0.3785,0.5122,0.2986,-1.1391,-0.3614,-0.0069,-1.0716,0.7717,-1.062,0.5648,-0.0411,-0.0252,-0.51,-0.3039,-0.7971
-1.3324,-0.1944,-1.1447,-1.754,1.2936,-0.5837,-0.3252,0.6885,0.5327,-0.3917,-0.2346,-0.3868,-1.6107,-0.0304,0.1738,-1,-1.2617,0.3235,-0.2599,0.8025,-0.4039,-0.0766,0.7136,0.6976,0.5945,-0.3328,0.7668,-0.7109,-0.078,0.0505,-0.3419,-0.7281,-0.2822,0.0253,-0.0197,0.4307,-0.0477,0.2266,0.0082,0.9766,-1.1214,0.4216,0.0556,-1.0459,0.1542,-0.9184,-2.5077,0.2209,-0.9698
-0.5852,-0.0369,-0.8344,0.092,1.3317,0.5975,-0.4652,0.1842,-1.2481,-2.2521,1.5869,-0.7359,0.2491,0.7883,-0.7236,-0.4497,1.0999,0.9049,-0.0852,0.1826,0.3747,-0.0431,-1.148,-0.2768,0.5187,-1.0209,0.3969,0.3956,0.246,-1.3955,-0.4571,-0.2291,0.4956,-1.112,0.1375,1.4755,-0.7912,-0.0591,0.0806,1.2698,-0.5917,-0.0172,0.3784,0.5294,0.5474,1.0155,-0.7796,0.398,0.3143
-0.1947,-0.0437,0.2876,0.8418,0.8477,-0.2122,-0.574,-0.9092,-1.7907,-0.6174,-0.8742,-1.067,-0.3321,-0.8316,-1.5499,-0.4368,0.3459,-0.6271,-1.2173,-2.4433,0.9936,0.1783,-0.5257,0.9241,0.1909,-1.2523,-0.4063,-0.0431,0.1541,-1.0798,-1.686,-0.6738,0.3102,-0.9521,0.4292,0.8307,0.9496,-0.7876,0.734,1.1227,0.2536,-0.4492,0.423,0.231,0.6869,0.8823,-0.0645,1.1595,-0.0872
-0.544,1.2196,1.0713,-0.3677,0.3516,0.1099,-0.0327,0.7228,0.4112,-0.9726,0.8193,-0.3222,-0.521,-0.1392,0.0101,-0.0344,0.3477,1.3601,-0.1407,-0.3848,1.6597,0.0453,0.262,1.0419,1.2703,0.1389,-0.2997,-0.6943,0.4621,-0.6684,-1.0762,0.6181,0.3641,0.1627,0.9841,-0.4218,-0.5325,1.2793,1.4364,0.6053,-0.4331,0.1606,-0.3502,-0.2917,-0.4832,0.5292,0.338,1.6478,0.3754
-0.3935,0.8354,-0.3427,-0.3465,-1.3097,0.8593,0.3411,-0.3272,-0.6595,-0.1953,0.7659,-0.4683,0.2352,0.9134,-1.1098,-0.9313,-0.5279,0.5776,0.0233,0.0978,1.3789,0.8388,-0.2366,0.047,-0.3227,0.1055,1.0989,-0.9336,0.881,-0.9961,-0.9718,-0.2601,-0.3063,0.0763,1.8305,0.7611,0.1272,0.5967,1.4132,-0.2833,-0.3237,-0.6014,-0.4543,1.4903,0.3921,-0.3499,-0.2152,1.6877,-0.6313
-0.2488,0.2674,-1.1929,-0.4681,-0.9278,0.5901,0.4349,-0.5731,1.2944,-0.4183,0.8509,0.6855,-0.1291,1.4356,-0.8404,-0.2479,-0.0351,0.0961,0.0448,0.5166,1.0326,0.108,-0.4025,-0.5444,-0.0316,-0.3356,1.0209,-1.2829,0.3787,-0.7528,-0.1798,-1.1595,-0.4393,-0.203,0.6163,0.418,0.165,0.8002,0.5948,0.4265,-0.9721,-0.9489,0.488,0.4356,0.3185,-0.2359,-1.1626,0.3075,-0.7581
0.6335,-0.8609,-0.1611,0.8011,-0.5586,0.5388,-0.7296,-0.1925,-0.5161,-0.8633,0.3564,-0.1872,1.2767,1.334,0.1096,0.6674,1.2891,0.1154,0.348,0.4774,1.9225,-0.9925,-1.4698,-0.4659,-0.0021,-0.1996,0.8079,-0.5583,0.83,0.1438,-0.279,-0.492,-0.1663,-0.7129,-0.2132,-0.1161,-0.4056,0.1486,0.3032,1.7346,0.1747,0.0453,0.3723,0.8818,0.1278,-0.19,0.4042,-0.7775,-0.5386
1.348,-1.0462,-0.2684,0.9061,-1.4417,0.1505,0.4123,-0.9354,-1.104,-1.1369,0.138,1.3949,1.0445,0.673,0.1258,0.6011,0.5703,-0.716,0.4727,-1.0551,0.4092,-0.1594,-1.3839,-0.7361,-0.5226,1.0508,-0.7261,-1.4498,0.6528,0.5045,-0.3795,-0.486,-1.1678,0.1741,-0.8473,-0.4943,0.1605,0.8747,0.049,0.9682,0.9204,-1.3754,0.3808,0.448,-0.2396,-1.0286,-1.247,-1.57,-0.029
0.0754,-0.7539,1.3256,0.3746,0.2085,-1.649,-0.4767,-0.1767,0.1622,0.1021,-0.4638,1.0725,1.3381,1.0387,1.6613,0.2005,0.4938,-1.2691,0.5856,-1.1511,-1.1284,-1.5946,-0.0164,0.2208,0.435,1.0397,-1.3623,-0.2131,-0.3523,-0.525,0.3263,0.5476,0.0172,-0.7506,-0.6891,-0.3597,0.3134,0.5927,0.0663,-0.7464,-0.3376,-1.0021,-0.0385,-1.0521,-1.5439,-0.4846,-0.1631,-1.842,0.4574
0.1987,-0.9698,0.8523,0.1368,-0.0403,-1.159,-0.2971,-0.3161,-1.1259,0.6322,0.3883,1.3817,3.1859,0.0901,1.7562,0.5703,-0.1381,-1.3872,0.7836,-1.1799,-2.0079,-0.7868,0.3152,0.3624,-0.0973,2.7226,-2.3617,-1.1431,-0.643,-0.7377,-0.0296,-0.4607,-0.4642,-0.3246,0.747,0.1307,0.524,-0.0349,-0.8644,-1.5985,-0.6096,-1.3923,-0.772,-0.2167,-1.4699,0.1898,1.0088,-2.6624,0.0883
0.3259,-0.7678,0.1856,1.1918,-0.5938,1.001,0.2347,-1.3007,-0.1265,-0.0753,0.6915,1.8663,3.1257,-0.6815,0.5254,2.3462,-0.8088,-2.6393,-0.3835,-0.0802,-1.2688,-2.1885,-0.5887,-0.6155,-0.2943,-0.6425,-2.9581,-0.5251,-1.1556,0.0296,0.2479,-0.446,0.1526,-1.2738,1.3373,-0.8109,0.4863,0.5633,-1.4457,-0.35,0.1222,-0.9671,0.2671,-0.6956,-0.5582,-0.8783,-1.0281,-2.3495,-0.8514
1.1282,-0.7089,0.9506,1.1137,-0.2088,-0.9763,-0.1932,-0.4723,-1.1876,-1.3654,0.6851,0.9501,1.0246,0.2321,0.3376,0.6945,0.657,-1.1991,0.9126,0.3002,-0.3362,-1.0228,-1.9781,-0.4977,-0.5041,-0.8678,-1.3425,0.1486,0.1566,0.9252,0.3034,-0.6212,0.2859,-0.5398,-0.1637,-0.7987,-0.0244,0.1131,-0.3382,-0.8021,-0.3594,0.2751,0.429,-0.722,-1.2389,-0.8667,-0.8548,-1.621,-1.5763
1.3792,-0.0103,1.5171,0.3484,0.0212,0.2754,-0.5697,-0.8375,-0.569,0.1073,-0.8153,2.0542,0.8022,-0.3334,-1.5106,0.92,-0.4935,-1.2609,-0.1681,-0.0679,-1.1335,0.1464,0.1176,-1.0969,-0.1983,1.0392,-0.6675,0.5389,-0.6761,-0.4009,0.0967,-0.8464,-0.119,1.6271,0.3768,-0.195,0.7188,-0.6171,-0.7149,-2.9462,-0.1919,0.2999,0.1923,-0.2589,-1.0135,-0.2179,-0.3297,-1.1973,0.4985
0.8729,-0.0317,0.4795,-0.4416,-0.708,-0.3616,-0.7764,0.2174,-0.3914,-0.4004,0.493,0.4583,0.8795,-0.5674,-0.1981,0.601,0.2139,-0.4875,-0.4515,0.953,0.8502,-0.8085,-0.1768,0.5278,0.4981,0.4962,0.0068,0.5845,-0.8816,-0.9725,1.529,0.5708,0.4625,1.1825,-0.2368,-0.3639,0.4007,-1.1456,-0.9619,-1.9424,0.3516,0.8361,0.911,-1.802,-0.31,0.1218,0.6706,-0.1319,1.5055
0.52,-1.3335,0.0899,0.6559,-1.1782,-0.8097,-0.4086,0.533,-0.2403,0.2364,-1.2607,-0.8909,0.3162,-1.4241,-0.0536,0.5715,0.7086,-0.57,-0.3039,0.0982,1.2487,-0.0102,-0.8671,-0.9647,-0.4926,1.1297,-0.4784,-0.1409,-0.0949,-0.4629,2.2178,0.2178,-0.23,0.8042,-0.4832,-1.0525,0.53,-0.8675,-0.7437,-0.5912,1.3904,0.6097,0.3338,-0.3642,-0.3392,-0.9583,0.6217,-0.0574,0.1657
0.1453,-0.271,1.0487,2.1763,-0.9187,-0.6561,-0.0221,-0.1745,1.2061,-0.7512,0.2479,-1.1798,0.1484,0.2395,0.0629,-0.6453,1.5742,0.406,0.9645,0.3308,1.5113,0.2275,-0.6975,-0.1401,-0.7819,-0.0768,0.1629,0.4245,0.4222,0.0418,2.766,1.5763,-0.342,0.0786,-1.4905,-0.9605,-0.9048,-0.2955,-0.904,-0.1174,-0.5347,1.1459,-0.197,-0.1134,-0.9052,-0.4769,-0.2622,0.2155,0.3838
0.7794,0.045,0.3461,0.5902,-0.7474,-2.0297,0.4664,-1.2201,-0.0564,0.5975,-0.0142,-0.9296,-0.3371,-0.3197,-0.5865,-1.7556,0.3453,-0.7915,1.3954,-0.2788,0.4679,0.3561,-0.8309,-0.5101,-1.5517,0.46,0.1814,-0.6845,0.7653,0.9763,1.7318,0.5134,-0.9068,-0.2593,-2.1128,-1.3963,0.1396,-1.0027,-0.5697,-0.6011,-0.7216,0.5273,-0.2712,-0.1058,-0.7273,-0.5726,0.3727,-0.7027,-0.569
0.3284,2.0107,-0.6365,-0.7602,-0.2658,-2.2111,1.1701,-0.2154,1.316,0.0598,0.6532,-0.113,-0.8124,1.2149,-0.2601,-0.5783,-0.1109,-0.1324,0.9999,0.9853,-0.4216,-0.1952,-1.0594,-0.3713,-1.2846,-1.2989,-1.2766,-0.8817,-0.2173,0.9812,0.8848,-0.2313,-0.7893,-1.1382,-1.7816,-1.8169,-0.9144,0.696,0.0295,1.1455,-0.038,-0.0375,0.4109,0.0442,0.3771,1.1672,1.898,1.4826,1.5969
-1.0505,1.6396,-0.4318,-0.9764,0.6216,-1.3292,0.5971,-0.5756,1.3406,-1.2891,0.0755,0.0276,-1.2077,0.2011,-0.4427,-1.1894,0.2937,-0.6568,0.0296,1.1535,-0.5039,0.2188,0.3892,0.939,-0.6811,-1.8846,-0.4741,-0.4514,0.6361,-0.1802,0.2583,0.378,-0.8925,-0.1386,-1.4029,-0.3094,-1.3268,0.2742,0.333,-1.4466,0.5842,-0.3251,-0.0543,1.0817,0.7893,0.5792,1.9651,0.1871,1.1529
0.707,2.7935,-0.6243,-1.436,0.2331,0.0938,1.6969,-0.9908,1.6036,-1.6789,-0.4145,2.4254,0.5435,-1.2706,-1.183,-0.7411,-0.0567,-1.776,-1.7239,0.8183,-0.9685,-0.2008,0.8327,0.6698,0.5665,-0.8098,1.253,0.3826,-1.5268,0.0196,-0.5784,-1.3056,-0.1367,-0.3059,-1.8103,0.1253,-1.1506,1.688,1.4288,-1.6482,1.9684,-1.8465,1.7489,-0.8157,0.5664,1.0607,0.8698,0.3038,2.8636
4.5753,2.5266,-0.1156,-1.6203,0.7371,0.6387,2.1201,1.6239,1.7216,-0.5993,1.0713,0.8445,0.3316,-1.1124,-1.5114,-0.7113,-0.4116,1.3682,-0.3436,0.639,-0.4783,0.5536,-0.2265,-0.381,2.0158,2.1297,0.9773,0.6435,-1.3242,0.9372,-1.7047,-1.424,-0.4488,-2.0243,-1.3738,0.167,0.0617,1.0493,1.9263,-0.9289,3.0436,-1.1467,2.0027,0.311,0.8182,2.9433,2.491,1.6113,3.1375
2.0576,2.1519,0.2743,-1.8163,0.2832,-0.5301,1.2138,-0.3177,-0.1962,1.5358,0.607,0.0206,-1.4217,-2.5509,-0.5163,-0.6646,-0.928,0.2443,-1.7742,-1.4974,-0.8862,0.6367,-0.7377,0.1101,1.8319,1.4401,-0.3924,1.3659,-0.1931,0.5153,-2.7113,-2.1578,0.1157,-0.7835,-0.6278,1.0258,1.0219,2.5218,2.6508,-1.3212,2.0881,0.118,0.7625,0.1284,1.5713,2.3173,2.266,1.0276,0.8921
0.1099,1.8773,-0.4379,-2.3302,0.5926,0.2938,0.6538,-1.0733,-0.03,0.5026,0.3252,-0.7808,-0.6129,-2.5183,1.6713,-0.4199,-0.7274,-0.307,-2.0015,-1.727,0.741,1.0999,-0.0448,1.0067,2.3936,0.6928,1.8639,1.7887,-0.8545,0.6441,-2.4822,-0.6409,0.6917,-0.8207,-0.3529,0.8898,-1.6709,1.6547,2.2743,-1.2479,0.3012,0.2043,-0.9523,1.0529,2.1172,3.06,2.6591,1.3339,-0.7733
0.6923,0.933,-0.8888,-1.7508,-0.6285,0.0616,0.6618,-0.3644,-0.271,1.0663,-0.2544,-0.0273,-0.1615,-1.6925,0.3607,0.1816,-0.8237,-0.2956,-1.9517,0.5676,0.0381,0.796,0.5366,0.3938,1.3753,0.9373,-0.0874,0.8564,0.5124,1.4396,-1.3464,-0.9967,1.0333,0.9213,0.5908,0.6534,0.1422,1.7648,2.4151,-0.9604,0.909,0.6954,0.4038,0.8923,2.5066,1.733,0.2632,1.761,-0.8115
0.3583,-0.9132,-1.5638,-1.2343,-0.8527,-0.5909,-0.1677,0.7181,0.1505,1.737,0.3194,-0.8766,-1.4985,-0.1353,0.2652,-2.2863,-1.358,1.9064,-0.0705,0.6067,0.4247,0.3296,0.1533,1.6085,1.0617,-0.5591,0.7731,-0.4314,0.6054,1.7514,0.8616,0.4132,1.4479,0.2795,0.3781,0.1623,0.4225,-0.1161,1.1061,1.3271,-0.504,0.9679,0.197,-0.2721,1.0201,0.3314,-1.0888,1.5596,-0.9779
0.6707,-1.7359,-0.8513,1.012,1.5903,1.3884,0.3977,0.3704,-0.1757,1.2204,-2.2631,0.3752,-2.2897,-0.0378,-0.3102,-1.2576,-1.0632,1.6611,-0.9294,-0.3908,0.5555,0.955,-0.1562,-0.1459,0.2376,-0.0272,1.2949,0.6368,0.3493,1.4714,1.1187,-0.1165,-0.363,0.5697,0.7921,1.085,1.0868,-1.8919,-0.2463,0.7323,-0.2387,0.4264,-0.6883,0.2368,1.361,-1.2084,-0.332,0.5184,-0.5617
-0.1363,-0.7187,0.4152,0.6517,2.0852,1.0392,-0.0274,0.6379,-1.0086,-0.675,-0.0295,0.0349,-1.1785,-0.6202,0.5212,-1.1721,0.9005,1.813,-0.6423,0.3254,1.5165,0.8402,-0.1985,1.1301,0.1523,0.0599,2.0973,1.5918,-0.2163,1.1133,0.6711,0.6372,0.053,0.6652,0.4539,0.4743,-0.8678,-1.039,0.3771,-0.2132,-0.3528,0.9322,0.2623,-0.8238,0.8413,-0.4026,0.788,1.1184,0.2054
0.1903,-0.7384,0.9329,1.6493,1.4717,1.1579,-0.1658,0.5263,-1.7583,0.3713,-0.8875,-1.1069,-0.4684,-0.6243,-0.2254,0.7397,0.5053,-0.164,-1.2073,-0.3896,1.2604,0.913,-0.1166,-0.0567,-0.2637,-1.1094,0.9714,1.6174,-0.5037,-0.3964,0.0642,0.1049,0.5169,-0.8497,0.5701,-0.0122,0.5604,-1.8008,-0.1862,-0.5096,0.9456,0.5698,-0.129,-0.7276,0.6728,-0.9163,0.0124,0.8877,-0.6486
0.4431,-0.1723,1.3692,1.0395,-0.2975,-0.4215,0.0739,1.7876,0.5133,0.5041,0.9224,-0.4789,-0.0186,1.0598,0.4219,0.9719,1.1313,1.1701,0.6932,1.4435,1.7834,0.1513,-0.0546,0.2023,-0.1071,0.0933,1.015,0.7843,0.119,-1.3033,0.7803,0.1177,1.1737,0.1353,1.0239,-0.7527,-0.4069,-0.6489,-0.3998,-1.3254,0.376,0.6195,-0.0776,-1.308,-0.8306,-1.3808,-0.4737,0.3076,0.0482
0.2588,-0.3978,-0.3222,-0.4094,-1.8873,0.0717,0.2168,-0.1842,0.0585,1.1197,-0.4166,0.0793,0.268,0.5059,-0.4721,1.4521,-0.4311,0.2958,0.4322,1.3364,0.6433,0.2587,0.1901,-0.8466,-1.1128,0.2064,0.2025,-0.0386,0.3295,-1.664,0.2259,-1.0099,0.971,1.5028,1.6083,-0.3075,2.0772,-0.1081,-0.4707,0.1587,1.0706,-0.0871,0.7513,-0.6022,-0.4381,-1.1839,-0.915,0.3259,0.5561
0.7506,-1.273,-1.5308,0.8556,0.2088,1.1377,0.6728,1.3847,1.139,-2.2108,1.4209,-0.2696,0.4052,0.1115,0.0711,1.7974,-1.8337,0.8693,0.5263,1.3028,-0.6267,0.2331,0.4127,-0.033,-0.3717,0.8384,0.2028,0.8995,-0.1567,-0.0997,0.5359,0.5849,0.5454,1.5505,0.5691,0.7196,-0.0524,-0.5459,-1.1549,-0.2859,-0.066,-0.9826,0.0258,0.0252,-0.0646,-0.9272,-0.6679,0.124,-0.6962
-0.9227,-0.5629,-0.5333,0.633,0.9911,0.3116,0.8499,1.4684,1.9104,-0.0768,-1.088,-1.0442,0.9516,-1.2284,0.8841,2.7039,-0.9077,1.0129,0.0961,0.5306,-1.043,0.0154,1.7979,-1.1841,-0.4456,-0.9537,-0.0292,2.0029,-0.9423,-0.187,-1.1371,1.6153,1.3718,0.7531,-0.0165,0.4475,-0.1582,0.1446,-1.0429,0.9069,-0.385,0.6998,-0.7378,-1.1373,-0.4447,-0.308,-0.1509,-0.0653,-0.3757
-1.4774,-0.1607,-0.2295,0.7628,0.9672,1.0859,0.8952,1.8672,0.1873,-0.2368,0.8113,-1.5087,1.5245,-0.8938,2.4534,3.6631,-0.0663,1.4037,0.5587,0.4986,-0.9497,1.767,1.0716,-1.3102,1.125,0.6554,0.1494,2.2992,-0.3079,0.7449,-0.5592,2.1027,0.8793,0.2679,0.1456,0.8689,-1.2282,-0.041,-0.9835,0.9381,-0.3735,1.667,-1.5444,-0.188,-0.0283,0.3479,0.0286,-0.0019,-1.3865
-0.7726,-0.1222,-1.0071,-0.6007,0.3867,0.3847,0.5637,0.8951,-0.1655,1.2868,0.3551,0.4341,0.5597,-0.4169,1.391,3.5525,-0.8079,-0.2517,-0.8845,1.1034,-1.1176,0.1718,1.7259,1.0169,0.2728,1.2589,-0.1339,1.5623,-0.3582,0.027,-0.5643,0.8597,1.7999,0.8876,0.5471,0.4578,0.9891,-0.4868,-0.5209,0.3665,-0.6962,0.7516,0.1073,-0.9742,-0.1023,-0.5484,-0.5783,0.2959,-0.8718
-0.2855,-0.6883,-0.0734,0.0171,0.2128,1.54,0.3104,0.7559,-2.021,-0.0154,0.3381,0.1397,-0.6604,0.7357,1.7939,2.3194,0.3338,0.1217,0.3744,0.2334,-0.6531,0.7299,0.3822,-0.7726,-0.1467,-0.1149,1.3471,0.3208,0.8936,0.0621,1.2178,0.7962,0.6996,0.4864,1.1,0.2309,-1.4299,-1.2228,-0.8382,0.4551,-0.3727,0.5683,-0.1412,0.8461,-0.3567,-0.7138,-0.3165,-0.6255,-0.9553
-0.6859,0.2955,-0.4614,-0.0204,0.0527,0.1556,-0.1395,-0.0734,-0.0516,1.1902,-1.067,0.9623,-1.3559,1.3072,1.1078,1.1933,0.4914,0.1059,0.4147,0.5551,-0.9747,-0.7735,0.9406,-0.2044,-1.1656,-0.8088,0.191,-0.4283,0.2439,-1.0909,0.4957,1.6227,1.2682,0.6525,0.6814,-1.0193,0.2758,-0.0781,-1.2304,0.2596,0.5203,0.6848,0.3332,-0.5708,0.0083,-0.1458,0.752,-0.6539,1.2601
