"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.3779,-0.8278,-0.5527,0.8901,-0.7032,1.0025,0.6649,-0.198,0.2452,-0.4492,-0.9548,-0.0399,0.4804,1.8619,0.182,0.4166,0.8891,1.5288,1.2435,0.0727,2.848,0.2148,-0.8055,2.1838,-0.0623,-0.9874,1.1682,-0.8503,0.7939,0.4146,0.393,-1.0893,-0.2158,0.6409,1.1915,0.18,-0.1388,-1.1557,0.6538,-0.2873,-1.2742,0.7817,0.6223,-0.3019,0.3406,-0.0852,-0.2602,1.6226,0.4277
-0.4683,-0.9392,-1.0314,0.3906,-1.0652,1.1348,1.0317,0.0649,0.6497,0.6183,0.8035,0.576,0.4861,1.5138,-0.0141,0.0777,0.3766,0.5551,1.3457,0.9288,1.0392,-0.7809,-1.5925,0.958,-1.0176,-0.2212,1.1681,-0.6552,0.27,-0.3451,0.5547,-1.2473,0.0245,0.8882,1.8108,0.165,0.0366,1.0335,-0.2716,-0.0799,-0.643,-0.7209,1.0337,0.2206,1.8478,-0.8241,-1.9263,0.9369,-0.2884
-1.4311,-1.0456,-0.5393,0.1247,-0.628,1.7227,0.787,-0.0111,1.2124,-0.0561,-0.2676,0.3775,0.6603,1.7754,0.2659,-0.4321,1.089,0.658,0.463,0.8681,2.2514,-1.3261,-0.6051,-0.6558,0.4601,0.2197,0.7105,-0.3905,1.3837,0.5045,1.4035,0.3395,-0.1109,-0.0021,1.5821,-0.3325,-0.9187,1.4777,-0.2213,0.1791,-0.1417,0.3345,0.6402,-0.204,0.3468,-1.4897,-1.2922,1.0397,-0.0244
-0.3193,-1.3057,-0.5754,-0.0057,-0.3104,1.601,1.5748,0.4615,0.7162,-0.1146,-0.5819,1.6625,0.4522,2.2589,1.1416,0.0497,0.4205,0.2467,1.2871,-0.0036,0.3551,-0.6055,-1.1681,0.6943,-0.2549,-0.2545,0.3099,0.3321,0.8147,-0.3119,0.6253,-0.3371,-0.1764,1.3768,0.8611,-0.3989,0.0722,0.1361,-0.249,0.2009,-0.3731,0.2747,0.3721,0.7533,-0.2495,-0.2671,-0.8545,0.709,-0.3849
0.948,-0.4147,-0.136,0.0101,0.4762,0.5821,1.7038,-0.4274,1.2506,0.5703,0.4144,2.213,0.9391,2.0141,1.1977,-0.0519,-0.0166,-0.5889,-0.6812,0.2286,1.0271,-1.8091,0.2433,-0.1423,-0.4671,0.1284,-0.9552,-0.2988,1.3576,0.0609,0.4116,0.0273,-0.3225,0.893,0.8032,-0.8732,-0.7148,1.3696,-0.451,-0.1346,-0.9804,-0.9678,0.6954,0.49,0.0547,0.2145,0.4741,0.3144,0.6302
2.4995,-0.1149,-0.0872,-0.0325,1.1711,-0.2728,1.3818,0.1875,0.4439,-0.0851,-0.2831,1.9,1.2484,0.7227,1.6838,0.0009,0.7427,-0.0578,-0.6132,-0.2787,1.2728,-0.0094,0.0967,1.1853,-0.3707,0.9229,-0.5826,-0.1937,1.2872,-0.1083,-0.6547,-0.8912,0.6025,0.8669,1.0936,0.4094,-0.4992,-0.176,0.4389,0.6976,-0.1421,-1.6891,0.6408,1.0126,-0.9401,0.0339,1.6895,0.9096,0.4765
-1.5879,0.8249,-0.5657,-0.0446,0.7128,-0.4712,0.7645,-1.539,-1.3147,0.6476,1.5249,-1.9961,0.2791,0.6398,0.0282,-0.3458,1.0125,-0.5524,-0.8307,-0.1393,1.0916,0.6442,0.0856,-0.1362,0.1097,-0.3761,0.3569,-0.6574,0.4345,-0.6642,-0.6231,-0.9516,0.8751,0.8322,0.0976,0.287,-0.0505,1.463,1.0664,0.3882,1.1738,-0.8483,0.4104,1.4596,0.9477,0.8549,1.6322,1.6163,0.2366
-1.4995,1.0744,0.3097,-0.6478,0.0155,0.1491,-1.0652,0.7872,-0.003,1.1954,0.7575,-0.2438,-0.5401,0.3165,-0.5207,-1.4482,1.5404,0.759,-1.2744,0.7684,1.4156,0.0778,0.2526,-0.2843,1.6623,0.3949,0.548,0.2276,0.3329,0.1048,-0.9779,0.4076,0.7078,0.4262,-0.2606,1.4176,0.7873,1.5609,1.6069,0.2786,1.4312,-0.2692,0.4948,0.3772,1.187,-0.3818,1.6224,0.4429,0.5125
-0.7063,0.9484,0.3248,-0.0299,0.0953,1.0085,-0.0552,0.2714,1.0269,0.1537,-0.5626,0.5617,-0.6802,0.6877,0.9488,-0.3538,0.5725,1.1066,0.2475,1.427,0.6449,0.6184,0.8523,2.4789,0.7419,1.1831,0.9327,0.7532,-0.0618,0.2024,0.2744,0.8215,0.8711,0.6371,0.245,1.6226,0.0213,-0.0072,1.7186,0.3612,0.9504,0.7991,-0.8004,0.5561,0.0222,0.5152,1.3519,0.3239,0.7935
-0.5966,1.74,0.8233,0.0535,1.9818,0.4118,-0.7584,0.0587,1.1563,1.3853,-0.8604,0.7237,-1.1166,0.8875,1.4699,0.8654,-0.9641,1.7468,0.4704,1.3818,1.0144,1.6591,2.3964,0.9051,1.8285,1.2368,0.9257,0.7759,-0.4151,0.0734,-0.3514,2.091,1.1952,0.8479,-0.1856,0.4396,-0.2641,0.0456,0.5276,-0.4493,1.7087,-0.2577,-0.6957,1.3651,0.4735,2.2036,0.9457,0.3846,1.3779
