"IC05","1.7583","-0.0400","-1.5921","-1.5954","-1.6762","-0.9460","-0.4252","-0.2770","-0.9260","2.1433","0.8327","-0.4313","0.9917","-0.0998","-1.0150","-0.5373","0.4581","1.2860","1.1129","0.9056","0.7914","0.3957","0.1378","1.1597","1.6873","0.9713","1.1995","0.9133","-0.7599","-3.0286","-2.5955","-0.8481","-1.0229","-1.8405","-0.9714","-0.9932","-0.1513","-0.4991","0.7135","0.2721","-0.2598","0.3895","0.6302","0.3361","1.4607","1.5988","1.6213","0.6631","0.5387","0.3531","-0.0144","0.2024","0.8729","1.5080","0.1148","-0.2946","-0.6091","-0.4412","-0.0925","0.1393","0.9688","0.0287","0.5908","0.8233","-1.4605","-1.2067","-1.5535","-0.7838","-1.4433","-1.7181","-0.1516","0.0750","-1.2387","-0.6695","-0.5351","0.1405","-0.3952","-0.1516","-0.9853","0.4275","1.6213","2.2771","0.0572","0.2789","-0.1874","-0.5887","-0.2388","0.2855","0.0100","0.7039","-1.6497","-1.1306","-1.2899","-0.3761","-0.4807","-0.0385","-0.2792","0.2998","-0.6130","1.4633","1.9704","0.3351","0.5983","1.0261","1.9531","2.5864","2.8345","1.3226","0.2609","-0.6166","0.1496","0.0595","0.1663","0.2148","0.3150","-0.0850","-0.7079","-2.3987","-2.1999","-1.3512","-0.7113","-1.1656","0.2296","0.2440","-0.9109","1.0912","0.6085","0.5854","-0.0496","-1.1320","-0.2140","-0.6936","-0.9110","-0.8629","-0.5708","0.4544","-0.0667","0.9285","0.6197","-0.7161","-0.6925","-0.4251","-0.1534","-0.8963","0.7195","-0.2908","0.4087","1.5940","-0.8302","-0.6807","-0.3863","0.7916","-0.1092","-0.1031","0.1571","-0.1377","0.2431","0.6332","1.4521","1.3315","1.7899","0.0029","-0.0015","-0.4436","-0.7578","0.1691","-1.2996","-1.3089","-1.2899","-0.0405","0.2305","0.8372","-0.6345","0.4565","1.1769","1.2273","0.8029","1.4745","1.6164","1.2017","0.9853","-0.5702","-1.0485","-0.8160","-0.5048","-0.5666","-0.9514","-1.3813","-1.3524","-1.2203","-0.1325","0.1971","-0.2207","0.7193","1.0322","1.2264","-0.4610","-0.1374","-1.1581","0.1763","1.1356","-0.6579","0.4167","-0.7970"
"IC08",2.4528,1.977,2.1473,-1.2568,-2.2346,-2.3855,-0.8529,-0.3719,-0.0787,0.3481,-1.1969,1.5803,1.0431,-1.6709,0.232,-1.0294,0.081,0.2844,0.9227,1.1689,-1.6616,0.0339,-1.488,-0.3186,0.4101,-1.0135,1.8131,-0.8415,-0.072,0.0634,0.1344,1.2152,-0.7982,-0.0018,-1.8229,0.306,1.6685,0.6877,0.5821,-0.0913,-0.4441,2.478,-0.7819,0.3244,-0.0256,0.2337,2.2174,-0.3094,-0.7929,0.1165,-2.526,-0.4176,0.6901,-0.84,1.4137,0.5296,-0.1361,1.0886,-0.2075,0.5685,0.8758,0.1524,0.4823,-1.068,-1.2888,-1.1299,-0.1492,1.5421,-1.1252,-0.3658,-0.4554,-1.8424,-0.3433,-1.0372,-0.9392,0.9059,-0.0266,0.7698,-1.0274,-0.7253,-0.3308,0.0986,-0.249,0.1846,-0.7634,-0.8336,1.1888,-0.8252,1.3279,0.609,0.8315,0.1884,0.5253,0.287,1.0782,1.5668,0.1267,0.3412,-0.9445,0.7781,-0.7625,0.7106,-1.3028,1.2622,-0.7581,1.1023,-1.5869,-0.1224,-0.4391,0.0964,1.8637,1.2693,1.2987,-0.6796,-0.4682,1.1051,-0.1688,1.4607,-0.4143,-0.4416,0.3539,-0.2428,0.6083,-1.5886,-0.3932,-0.1484,-0.7033,0.1366,-1.4454,-1.9326,0.4831,-1.4143,0.6404,-1.2102,0.2967,-1.0061,-1.1235,0.3841,-0.503,0.4273,-0.4524,0.7307,-0.934,0.4059,0.312,-1.185,0.4225,0.2234,0.2942,0.0464,0.0326,2.4548,-0.2618,0.8055,-0.7581,1.9153,-0.5392,-1.1748,-0.8022,-0.302,1.9295,-0.3278,1.8014,-0.2408,1.8296,0.507,1.7209,-0.9591,0.9242,0.1072,0.8871,0.7622,-0.5201,-0.7535,-0.6485,-0.0629,-0.1771,0.5871,-0.5974,-0.8663,-2.3416,-0.1053,-1.2561,-0.0316,-0.4375,-0.6472,-0.9489,-1.0647,0.0761,-0.7619,-0.176,0.1144,-0.2439,0.7224,0.5738,0.3472,0.214,0.0866,1.6717,-0.1992,1.5747,-0.326,0.3517,-0.507
"IC09",1.483,2.3511,1.3323,-0.7019,-1.0006,-1.9018,-1.8274,-1.3917,0.0803,0.6755,2.1717,4.5538,2.1612,0.4577,-1.7159,-2.308,0.9973,-0.5171,-0.0831,-0.6107,-0.5021,-0.3908,-0.3849,0.6605,-0.5563,0.1572,0.8694,-2.1347,-1.2469,-0.935,0.8904,-0.8624,-0.4542,-0.5764,-0.8341,1.0015,0.3141,0.2269,-0.7003,-0.2888,0.7948,-0.8232,-0.7956,1.0819,-0.792,-0.292,-0.3519,-1.0115,0.5399,-1.0163,-1.5507,1.5141,0.4419,-0.33,-0.3675,-0.0203,0.4055,0.1396,-0.3762,1.4114,0.6078,0.4508,-0.4748,0.9537,1.4123,-0.4977,-0.6568,-1.82,-0.4994,1.7083,2.01,1.1834,0.2888,-0.2439,2.2706,1.494,1.0101,0.0823,-0.6456,0.9002,0.1356,0.2063,-1.2941,-0.357,-1.2564,-0.9173,-2.146,-0.01,-0.7552,-0.5069,1.1084,0.2224,0.5937,-0.1477,0.4554,-0.6365,1.1514,-0.6275,-0.8943,-1.3241,-0.7733,0.267,-1.1146,-0.3039,-0.1397,0.8522,-0.5833,1.5037,0.1525,1.1432,-0.1749,0.202,-1.6747,-1.1708,1.0942,-0.7305,-0.4303,-0.7139,-1.2555,0.3452,0.1805,0.9093,-0.6653,0.0559,1.0544,0.6868,0.3304,-0.0251,0.4188,1.0653,-0.0907,-0.0818,-0.3968,-1.2641,0.3682,-0.9877,0.5214,-0.5811,0.5078,-0.1531,-0.3523,0.4239,-0.3671,1.0008,0.3826,0.8153,-0.9829,0.1017,2.1067,0.417,1.5604,0.6887,0.8699,0.0072,0.2011,0.9848,0.2274,1.7424,-0.2633,0.4606,0.9886,0.7429,-0.992,-1.4231,-1.1021,-1.5665,-1.0519,-1.4148,0.2263,-2.194,-1.8362,-1.6639,0.218,-0.1048,0.2185,-0.4862,-0.5714,-0.8808,0.7331,0.1845,-0.2993,-0.1307,-1.1898,0.0305,-0.7027,0.6277,0.1064,1.153,-0.3218,0.8456,-0.3463,0.5032,0.4171,-0.1335,0.0496,-0.121,0.6944,-0.0889,1.0178,0.1093,-0.688,1.1355,0.5193,0.8211
"IC15",-1.0988,1.3505,0.315,-0.7292,-0.7381,-0.7986,-1.2034,-1.1537,0.2256,1.5348,0.7846,2.4603,1.3681,0.0859,-0.0518,0.1933,-1.2781,-1.1986,-0.0889,-0.4895,1.2931,0.9747,1.289,-1.7857,-0.7377,-0.3991,-0.3442,-1.4401,1.0365,3.1048,1.4259,0.3552,0.6138,-0.293,0.969,-1.2507,-1.9877,-0.46,-0.1888,-0.2118,-0.5279,-2.019,-0.3047,-1.3966,-0.5943,0.5861,-0.4247,0.9712,0.0644,-0.2491,0.2297,-0.7261,-1.1667,0.2313,-1.2105,-0.1713,0.3711,0.8422,1.7264,0.1741,0.41,1.9045,0.257,0.7638,-0.1115,-0.2566,0.5812,-0.3667,0.7955,-0.3256,-1.2271,0.3641,-0.2944,0.9249,-0.3589,0.8287,0.6529,-0.1578,-0.1821,-1.1919,-0.9922,-0.1074,1.3172,-0.1432,-0.4748,-0.4846,-1.0144,0.8894,0.6258,1.1694,-1.1118,0.3396,0.07,1.1022,-1.095,-0.8698,-1.1329,-0.1472,0.205,-0.0129,0.1194,-0.3118,1.019,0.0124,1.9032,0.4891,1.0283,-0.6877,2.0027,0.5755,-0.9162,-1.3517,-0.4887,-0.0927,-1.6485,-2.0635,-0.0285,-1.0181,0.2719,-1.134,-0.5492,0.5794,1.7041,0.3699,-0.4339,-0.7914,0.8375,-0.0882,0.594,-1.6833,-1.088,-0.1145,0.2896,1.7638,-0.2271,1.2449,0.1128,-1.367,-0.8301,-1.3491,1.0204,1.1384,1.8753,-0.5648,0.0089,0.8938,0.1756,0.365,-0.6877,0.1967,0.3996,0.2802,1.4107,0.2411,1.8115,0.0345,1.7985,-0.6015,1.0057,0.0509,-0.1149,0.8341,0.6619,0.0417,-1.4322,-0.4269,-1.5536,0.1714,-1.6255,-1.3543,-2.3375,-2.0278,-1.851,-1.1126,-0.5774,-0.9626,0.295,-0.0231,0.8079,-0.4879,1.336,-0.4664,1.8014,-0.222,1.679,-0.3608,0.4195,0.0815,0.6374,-0.067,0.9268,1.061,2.1686,0.5679,0.4989,0.2857,-1.7227,-0.4904,-0.0418,1.3501,-0.4057,-1.5841,-0.9189,0.0337
"IC16",2.7712,1.9886,-0.451,-2.8169,-1.2273,-0.9229,-0.2359,0.622,1.8748,-1.6536,1.6842,1.2478,-0.3662,-0.5791,-0.8049,-1.0156,1.1644,-0.693,0.5294,-0.8724,-0.8888,-1.5067,-1.6363,1.0847,0.667,-0.179,0.8282,1.1356,2.0726,0.513,2.2303,0.3517,0.0603,-0.9944,-0.4015,0.1089,-1.102,-0.9406,-0.1965,0.0085,0.526,-0.384,-0.6692,0.0153,0.1294,0.3725,0.3708,-1.4245,-0.9094,-1.9904,-1.6472,0.0467,-0.4477,0.6189,0.6043,-1.027,-0.7643,0.3879,0.6055,1.4067,0.3942,0.2947,0.0952,0.9762,0.8149,0.4705,0.2179,-0.7365,-0.5965,-0.2425,-1.1407,0.1464,-0.495,0.6158,2.5266,0.6321,0.7941,0.5687,-0.9683,0.1986,-0.2492,1.2213,0.4,-0.6266,-1.0237,-0.8479,-0.9419,0.0405,0.1567,0.9206,-0.1905,-0.6602,-0.2818,0.8268,1.4491,-0.6086,0.3827,-0.9,-0.6558,-0.1109,0.2465,-0.0101,0.1151,2.395,2.3426,-0.0588,-1.2022,-0.0382,-0.327,1.3613,-0.2737,-2.0268,-2.7176,-0.5032,-0.362,-1.8266,0.0624,0.22,-0.5156,-0.6076,-1.9664,0.2784,0.5695,0.7649,0.1274,-0.5308,-0.1407,0.0758,0.3275,0.4729,0.4569,0.2784,0.2781,0.173,0.9131,-0.142,0.5231,-0.0825,1.4972,1.5346,1.2364,1.2774,0.2647,0.4108,-1.2042,-1.5759,-1.7196,-0.1704,-0.101,-0.2471,-0.4544,0.1754,-0.5051,0.3636,0.7085,1.0003,0.0659,-0.6119,-1.279,0.6326,0.3307,-0.0322,0.3468,1.3809,2.2963,0.6667,0.4026,-1.8784,-0.9705,-0.3831,1.2712,-0.3752,-0.2086,-0.6911,-0.2371,-0.3001,0.4245,-0.3954,-1.022,-1.0628,-1.2047,-0.3454,-0.1102,0.9004,-1.9162,-1.28,-1.506,-0.2249,-0.0283,-0.6106,-0.9052,0.283,0.2791,1.8847,2.1428,0.9771,1.4992,0.2598,1.1104,0.4652,0.9672,-0.6551,-1.2627,-0.378
"IC17",-1.928,0.4775,-0.8171,0.8055,-0.3258,0.1399,-0.0936,0.204,1.4346,-1.9034,1.1666,2.3504,-0.1369,0.3043,0.5125,0.8915,-1.3657,0.1017,-0.0958,-0.6125,1.3051,1.2915,0.7144,-1.4723,-1.1667,0.6867,0.1276,-2.0803,-1.2591,1.0242,-0.3736,-1.2402,1.0214,0.5739,1.5803,-0.6245,-1.7282,0.0541,0.6084,-0.5731,-0.1403,-1.6586,0.9733,-0.8272,0.7735,1.7888,-0.3183,-0.0277,-0.2443,-2.2251,0.6489,-0.4112,-1.0497,0.6484,-1.0704,0.482,0.5649,0.0427,1.1555,0.0968,-0.4228,1.0937,-0.004,0.3879,-1.8724,-0.2529,1.3451,0.3697,1.6077,-1.3802,-1.5533,1.1313,0.7582,0.756,0.7535,-0.2496,1.8473,0.2997,-0.5528,-1.2764,0.3656,-0.0978,1.7279,-0.0646,0.5396,-0.0848,0.4503,1.2975,-0.2707,-0.6142,-1.5979,-0.9948,-0.7392,-0.953,-0.9273,-0.3516,-0.2073,-1.544,0.6728,0.0878,-0.6847,-1.0042,0.4319,1.8954,1.8142,-0.9777,-1.2092,-1.7997,-0.0562,0.179,-0.8523,0.0357,0.6401,1.4429,-0.7858,-1.3063,0.4095,0.3863,0.8477,1.0844,-1.3771,1.2998,1.0663,1.575,-0.7993,-0.4332,-0.0338,0.146,-0.1101,-0.1874,-0.8277,1.5103,2.2614,1.0155,-0.8302,0.833,0.8193,0.4667,0.4332,1.0463,0.1177,-0.8792,-1.5171,-2.7884,-0.4965,-0.5088,0.0587,-1.3288,-2.7986,-0.3926,-0.4378,-0.5296,0.9453,1.4434,1.4799,-0.0434,-0.1591,-0.6999,0.044,-0.1764,-0.8292,0.5674,0.945,0.9012,0.875,1.2408,0.4017,0.1654,-1.002,0.3965,-0.8337,-0.4473,-1.3927,0.8607,-0.3057,0.2656,0.5164,0.3398,0.6682,0.6098,0.2737,0.1778,1.132,-0.888,-0.7508,-1.1251,-0.9761,-0.6554,-0.7387,-1.6462,-0.8001,-0.806,0.5459,1.0935,2.2265,1.1946,-0.3614,0.3005,0.0953,0.7922,0.442,-0.0117,-0.3294,-1.0868
"IC18",-2.2474,0.8402,0.736,-0.2485,0.1526,0.1207,0.2421,-1.8081,-1.2073,-2.6616,0.0578,1.4705,0.8383,-0.6445,0.2235,0.1581,0.8859,0.5339,1.2032,-0.9704,-0.4994,-1.0222,-1.652,0.5717,-0.5959,-0.5773,4.1019,1.0225,0.4847,0.5963,1.8311,-0.1242,0.6228,1.3974,-0.2632,0.264,-1.4008,-0.5526,-0.4769,0.7359,0.965,-1.1409,-0.256,2.3341,1.306,1.253,-0.32,-1.6299,-1.0138,-1.1165,-1.8645,0.1998,-0.6307,0.0263,0.2736,-1.1811,0.0852,1.3247,-0.386,1.6468,-0.7071,-0.7875,-1.9264,-0.7243,0.0909,-0.0966,2.0357,1.5809,-1.1464,-1.3529,-2.3015,0.0579,-0.0967,-0.1074,2.1079,0.8187,-0.4341,-0.5408,-1.7557,-0.0216,-0.0208,1.6261,-0.7749,1.7342,0.5527,1.0709,-0.69,0.2365,-0.3597,-0.5729,-0.2264,0.3055,-0.8796,-0.2586,0.7088,0.0717,1.2213,0.9185,0.2051,-0.0974,-0.4463,-0.0169,-0.6316,-0.0911,-0.4037,1.0104,-0.4724,-0.7731,-0.4069,-0.2905,-1.1346,-0.0486,1.1325,-0.3831,2.5174,-0.3659,1.4054,1.6322,0.005,0.7879,0.8678,-0.4584,-0.6495,-2.1626,-0.607,-1.4318,-1.0318,0.7282,1.4534,0.3647,-0.4317,0.138,0.8119,-0.8533,0.2503,-0.5577,-1.6322,-0.9462,0.7981,0.7545,-1.3938,-0.074,0.1741,0.7075,-1.2784,-0.8846,-0.5891,0.3736,0.5969,0.1025,0.6825,-0.1613,0.2647,0.06,-0.0738,-0.1042,-0.3495,-0.1983,0.4128,0.253,-0.3222,0.6369,0.4859,0.3121,0.0923,-0.5887,0.0837,-0.1838,1.4638,0.8805,0.7634,-0.9942,0.2532,-0.6363,1.5101,-1.0453,0.4448,-0.8989,0.0176,-0.806,-1.0666,-0.9478,0.655,1.4689,1.5707,-0.0437,-0.5835,-0.6346,0.6546,1.3201,1.8723,0.7083,-1.3064,-0.2905,1.1896,0.2365,-0.3012,0.4716,0.3325,-1.0982,-1.1933,-0.5887,-1.0195,-1.3044
"IC19",1.7959,-0.3789,0.3881,-0.5084,-0.4709,-0.2629,0.4857,1.958,0.4258,4.9755,1.8523,-1.3465,0.8642,-0.0424,-1.7668,-1.6072,-1.0819,-1.2519,-1.7384,-0.8824,-1.2332,0.1295,-0.0456,-0.7284,-0.3153,-1.1109,1.5578,-1.7234,-0.1095,0.5374,-0.2669,-0.0721,-0.9942,-1.1468,-0.0615,-0.1524,0.9892,-0.6974,0.0575,0.6538,-0.0456,1.3589,0.5106,1.7611,1.0863,-0.265,0.3519,-0.0944,-0.4246,1.3853,-0.0708,-0.2347,-0.2114,0.0014,-0.7372,0.2951,-1.1274,-0.0156,-0.5958,-0.2407,-0.0683,-0.7053,-0.042,-0.2401,-0.4697,-1.1737,-0.3593,0.5957,1.047,-0.6923,-0.0439,-0.0464,-0.243,0.2581,1.1963,1.7671,0.2682,0.491,0.3954,0.589,0.1063,1.0255,0.1812,-0.0013,-0.0813,0.137,0.3685,-0.093,0.2682,1.0201,-1.0553,-0.9489,-1.4836,-2.1922,-2.3962,-1.4546,-0.6889,2.1843,-0.036,1.8034,1.4943,2.3162,0.5856,0.8419,-0.0586,1.3524,0.3646,0.1893,-0.6139,-0.5248,-1.1486,-2.3207,-1.3813,-0.2741,0.4444,0.3341,-0.8258,-0.8097,-0.6676,-1.2561,0.3027,-0.3573,1.3912,0.3354,-0.6438,-1.0385,-0.9424,-0.8406,-0.5358,-0.4809,0.7259,-0.4009,0.5131,0.838,0.7669,-0.7064,0.1575,0.2802,1.505,0.2952,1.4615,0.4029,0.4698,0.8112,1.0176,-1.0918,0.3681,2.005,-0.1213,0.7813,1.0288,1.4232,-0.2157,1.172,0.1024,0.3852,-1.5344,-1.8191,-1.0037,-0.1419,0.6904,-1.2032,0.9965,-0.7923,0.2981,0.2878,0.7339,-0.2282,-0.6551,-2.1664,0.1198,-0.215,-1.0393,-1.7861,-0.5123,-0.7306,-0.9229,-1.1434,-1.2887,-0.1642,0.8523,1.3322,1.736,0.6747,-0.083,-0.9346,-0.5696,-0.218,-0.1568,-0.5208,-0.4024,-0.2156,0.6316,0.4391,-0.1066,-0.272,0.5189,-0.9284,1.4615,0.5026,1.5279,-0.0369,0.5832,0.6507
"IC20",1.2151,0.1239,-0.1623,-1.1217,-0.0016,-1.0073,0.9172,-1.8843,0.5154,-0.2592,0.3891,1.586,-0.0429,-1.2933,-0.351,-0.9541,1.1479,-0.9258,0.4697,-0.9914,0.5357,1.2778,0.2031,1.036,-2.4609,0.0745,0.7979,1.1338,1.35,-1.3994,-1.1251,-0.7089,-0.9344,0.6758,-0.138,-0.2805,-2.2109,-0.6272,0.7446,-0.4461,1.4881,0.2948,0.1992,2.1803,0.355,0.6801,2.0338,1.1893,1.5249,0.2834,-1.0081,-0.2465,-1.3581,-0.4246,1.1764,-1.4773,0.6559,0.8056,0.4935,0.9199,-0.9015,-0.3069,-0.2904,-1.1603,0.1169,-1.5029,0.4776,0.7757,-0.1272,0.6708,-1.8418,-0.5141,0.8876,0.7467,0.7189,-2.4431,-1.1772,-0.4475,-0.3087,0.3584,-1.0424,0.7121,-0.0289,1.066,-1.0625,-0.569,0.322,0.6349,0.5557,-1.0623,0.3186,-1.0812,0.2958,-0.2326,0.7388,-1.3359,0.6474,-1.6206,0.6395,1.1264,0.3615,0.5573,0.2037,0.664,0.5409,1.4608,0.3532,0.9741,-0.3339,-0.5504,-1.1679,0.4559,1.4706,0.6072,-0.02,-1.0529,-0.6599,-0.0973,-0.6422,0.0154,-1.0801,1.5184,1.0753,-0.1837,0.8006,-1.3341,-0.08,-0.0079,-1.8543,-0.591,-1.5615,0.2401,1.4947,1.2472,1.4976,0.0014,0.8959,-0.1243,-1.3484,0.8756,0.4837,0.772,-0.5135,0.3691,-1.7599,0.644,0.3537,-1.1338,0.1738,-2.2025,-0.2594,-1.011,0.3825,0.9344,-0.0877,0.0237,-0.9245,0.0087,-0.9283,0.4602,-1.7042,0.2486,-0.0491,0.0507,0.6994,-0.2048,0.9327,0.7025,1.0979,-0.4984,0.6721,-1.1122,0.0942,-0.9559,0.5442,-0.8515,0.1714,-0.8711,-0.1881,0.5291,0.6483,2.3509,2.2577,1.7518,-1.5157,0.1897,-1.4869,0.3389,-1.3708,1.2516,-0.5116,1.9967,0.9728,1.7117,-0.6692,-1.075,0.6964,-0.9944,-0.0431,-0.3855,0.343,-0.0074,-3.1143,-0.4357
"IC23",-0.9391,1.8906,-0.0024,-0.522,1.5786,-0.1074,-0.1932,-2.2548,-1.9066,0.4456,-1.1731,-1.5003,1.357,1.4799,1.5272,-1.4369,-0.2903,0.4876,-0.8652,0.6154,0.9657,0.1597,-1.5295,-0.6002,0.2329,-1.4503,0.1275,-0.3014,0.8356,1.3165,-0.0085,2.1574,1.3274,1.4796,0.5214,-0.2766,-0.8394,-1.1224,1.6241,-0.6927,-0.0818,-1.2153,-0.919,-1.0474,0.1523,0.4234,1.3937,1.0325,1.5803,0.5864,-1.0212,0.4404,0.3731,-0.3825,-0.3012,-0.7659,-3.2984,0.6307,-0.4648,1.4405,1.3999,-1.1373,-0.5289,-0.2452,0.2754,-0.4042,-1.3649,0.0403,-0.7619,-1.0871,-0.0962,-0.4412,-1.7694,-1.0371,1.0384,0.6403,0.8805,2.5786,-0.1169,0.1299,0.1837,2.5964,0.5419,0.7598,-0.5987,0.1177,0.1462,0.2914,0.6825,0.1607,-0.9212,-0.6665,-1.2344,0.0486,0.3568,1.5911,1.1462,0.7265,-1.5786,-0.0472,-0.5584,-1.0223,-1.4912,-0.6596,-0.4664,-0.0666,-2.3774,-1.178,-1.0612,-0.7739,0.9432,-0.1361,1.1803,0.2015,1.0173,0.8475,1.4213,0.1987,0.8995,0.9735,-0.0035,-1.3322,0.7506,0.2633,1.0475,0.4659,-1.2139,0.9969,-0.1359,0.4061,0.418,0.2995,1.5634,-0.1039,0.2553,-0.9142,-2.3051,0.6198,0.5096,-0.1066,0.092,-0.965,1.4279,0.5523,0.0367,-2.598,0.5173,0.5057,-1.8419,0.331,-0.8603,-0.7741,-2.1466,-0.2815,-0.131,-0.3028,-0.1572,0.8995,0.6739,-0.3991,0.382,-1.2603,1.3326,-0.3694,1.0168,-0.2199,0.2426,-0.6772,0.4669,-0.3267,1.7612,-0.1848,-0.324,0.2327,1.1238,-0.2469,-0.34,0.4845,1.2005,0.0398,-0.0059,-0.6141,0.4018,-0.4372,0.4334,0.9065,1.2122,-0.0403,0.5283,-0.5394,0.2686,-0.179,-0.5773,-0.3701,1.6702,-0.2481,-1.4105,-0.7986,-0.3842,-0.6012,0.7284,-2.0636,0.8926,-0.0267
