"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
1.3549,0.7661,-0.0661,0.3692,-0.2072,-1.1648,3.0998,-0.6086,0.0073,-0.1257,-0.5574,0.8458,0.5235,0.1744,-0.2793,-1.0915,-0.1116,1.1534,0.1284,0.971,-0.4593,0.5432,1.4789,-0.3976,0.3483,0.3482,0.1721,0.8363,-0.475,-0.2496,-0.1152,1.586,0.8892,0.6005,0.7657,0.2494,0.3361,-0.9224,0.8796,0.3489,-0.0288,0.7536,0.888,0.0358,1.2113,1.014,-0.8378,0.7276,-0.5026
0.6012,0.3907,2.0146,0.6262,0.891,0.6373,-1.382,1.6248,0.2227,1.0017,-0.6273,0.6904,1.5624,0.0189,0.5918,1.3246,0.3248,0.7745,0.1856,0.7459,1.3827,1.1203,0.7001,-0.0135,0.6758,1.3295,0.6039,1.2683,-0.3966,1.4748,-0.7378,0.9647,-0.3619,0.6598,1.1594,1.3541,0.2399,-0.7863,0.2912,-0.159,0.6892,0.6176,0.982,0.1344,1.4022,1.265,-0.4229,0.5488,0.183
0.4962,0.9894,3.8399,1.7081,1.062,0.7483,-0.5855,0.1175,1.3402,1.3853,2.7537,2.0706,0.8737,0.5994,2.1848,2.3516,0.2579,1.1008,0.2455,0.9464,2.0652,1.582,-0.6508,0.7001,0.0578,0.7689,0.582,1.3254,0.5711,1.5052,-0.1582,0.3138,0.9687,2.4832,0.4328,1.2398,0.562,1.5412,1.5293,0.6315,2.0164,0.4381,2.4066,0.861,0.1897,1.0535,-0.4523,1.289,1.6308
-0.0754,0.6459,3.2502,0.5548,-0.3608,-0.2476,1.9807,-1.2274,1.7158,1.2838,1.5593,-0.2184,0.3777,1.2874,1.23,1.0986,-0.1262,0.9108,0.2603,0.8593,0.2256,1.0229,-1.132,2.0729,-0.3266,-0.66,1.2057,0.5316,1.0818,1.1148,0.2098,-1.3068,0.7449,1.5505,0.5221,0.4007,0.9374,2.0863,0.5846,0.5963,1.2036,0.2481,1.0067,1.2775,-0.0686,1.1586,-0.4065,1.9814,1.4426
0.2275,-0.0328,1.0776,0.953,-1.2487,0.9557,1.2279,-0.1412,-0.1256,0.4568,0.7158,-0.7865,0.8728,0.3761,0.3193,0.9677,-0.1814,-0.2506,-0.355,-0.4104,0.3898,1.2646,-0.5623,1.8129,0.0969,-1.1499,0.5175,-0.0718,1.3254,1.4457,0.0687,-1.2853,-0.2118,0.7465,0.723,-0.4759,0.4172,0.7204,0.3066,1.3669,0.5246,-0.0414,0.0649,0.9611,-0.5001,0.083,0.5111,1.5037,0.7162
0.0623,0.6753,-0.7756,-1.2809,-0.395,-1.1061,0.3217,0.1414,0.5942,0.1963,0.4217,-0.125,-0.4759,0.6503,0.5249,-1.6954,-0.4794,-0.8926,-0.782,-0.3543,0.2859,-0.7463,-0.6057,0.5974,-0.6514,-1.9068,0.6543,-0.3136,1.0041,0.0062,-0.1378,-0.2764,0.423,-0.5672,0.4034,-0.6386,0.6228,0.9248,1.3915,1.48,0.5665,-0.3751,0.2595,1.1909,-1.3974,-0.1167,0.4117,1.6033,0.638
0.2376,-0.5065,-0.4661,0.8425,-0.3805,1.0466,-0.4407,0.0615,-0.4438,-0.6968,-0.8122,-0.7628,0.9595,-0.3911,-0.1782,-0.6064,-0.1463,-0.7061,-0.8781,-1.0349,-0.0059,-0.0926,0.6383,1.2439,0.0624,0.1931,0.1646,-0.6341,-0.1289,0.4092,-0.7658,-0.709,-1.3001,-1.3735,0.645,-0.1607,0.1004,-0.4004,0.975,0.9563,0.1814,-0.3674,-0.7411,0.1354,-0.0254,-0.7052,-0.4941,0.4231,-0.2068
-0.9627,-0.5043,-0.6231,-0.2609,1.2043,0.7017,0.576,0.2257,-0.339,-0.935,-0.3577,-0.7308,0.3525,-0.4392,-0.0793,-1.7947,-0.6506,-0.001,-1.1291,-0.4364,-0.6667,-0.6555,-0.6587,-0.2416,0.5398,1.0415,-0.1248,-0.607,-1.1498,-0.8898,-0.645,-0.0783,-0.1441,-0.8021,0.2396,-0.2502,-0.9709,-0.3389,1.1487,-0.2972,-1.083,-0.4839,-0.33,-0.5946,0.8061,0.2701,0.4523,-0.246,-0.0549
-0.9948,-0.9173,0.169,-0.6651,2.1534,0.3978,-0.0098,0.9655,0.4822,-0.6813,-1.1608,-0.7605,0.1543,0.2969,0.1784,-1.2837,1.1235,1.4706,-0.8659,-0.3604,0.0158,-0.7282,1.3104,-0.4454,1.0959,2.4886,0.537,-0.5556,-0.8312,-0.6704,-0.7285,0.7241,-0.6552,-1.6817,0.4441,1.0398,-1.2617,0.3484,1.187,-1.5594,-0.7892,0.2649,0.2308,-0.9823,1.2604,0.2047,0.0889,-0.3978,-1.0314
0.5666,0.306,-0.0587,0.2687,2.8138,0.0553,0.6982,0.7079,-0.1779,1.6346,0.2401,1.5897,0.23,0.0934,2.0014,-0.2497,0.1549,1.8002,-0.5316,0.7908,1.1668,0.6328,2.6085,2.404,1.4186,1.5093,-0.376,-0.2599,-0.5155,-1.0359,-0.3093,0.9344,0.3947,0.6169,0.5293,1.057,-1.8615,0.4702,1.3323,-0.8415,-0.0376,0.3707,0.8231,0.0021,1.471,0.6535,0.9938,-0.4065,-1.8413
-0.2577,0.8271,-0.5663,1.0751,1.7854,0.0424,1.3676,-0.8502,-0.0172,2.4701,1.2766,1.9487,-0.3304,0.2649,1.8194,0.3014,-0.7898,1.3705,-1.3156,1.4343,-0.4914,0.5109,0.3817,1.813,0.9906,-0.9591,-0.901,1.3545,-0.6049,-0.239,-0.1952,0.9023,2.0241,0.3382,-0.1936,1.1564,0.8139,0.8562,0.5776,-1.1713,0.6347,0.1896,1.6479,-0.1138,1.4859,1.0406,-0.4479,-0.5277,-1.8587
-0.8362,-0.4375,0.772,0.889,0.2345,-1.2236,1.06,-0.8386,-1.434,0.797,0.5631,-0.5816,0.224,-0.5735,-0.371,1.6754,0.5528,0.8025,-1.4305,-1.1106,-0.9378,1.677,-0.2148,0.6239,1.2666,-2.48,0.4547,0.8244,-1.2111,0.4227,-0.9667,-1.179,1.1252,-0.2629,0.0945,2.0591,1.1424,0.6014,-0.1673,-1.4816,1.2666,0.8481,1.7564,-0.5381,2.3909,-0.509,-0.5608,-1.0242,-1.2715
-0.4005,0.0132,-0.0958,0.0536,0.4621,-0.3322,0.3086,-0.6698,-1.0988,-0.8131,0.3829,-0.0819,-0.4169,-1.0009,0.1547,0.332,-0.3172,0.3784,-2.308,-1.3057,-1.4021,-0.6422,0.4611,0.0152,0.8076,-2.7634,0.0413,-0.0979,-1.5503,-0.0487,-1.1771,0.5105,1.176,-0.5746,-0.6675,0.8059,0.5364,-0.1024,0.6915,-1.1235,0.122,1.1173,1.0475,-0.3691,1.0714,-0.8174,0.5556,-0.513,-0.373
0.0824,-0.5654,-1.3589,0.1409,-0.1148,0.7338,0.8066,-0.2308,-0.4397,-1.097,-0.6922,0.7698,0.4301,-1.114,-0.1638,-0.3419,0.3143,0.848,-1.6607,-0.4905,-1.0219,0.0158,0.6097,0.7558,1.2925,-1.3147,0.0254,-0.3219,-1.5549,0.6047,-1.4265,0.6567,0.3154,-0.624,-0.1256,0.9142,-0.0469,-1.1075,0.2429,-0.2121,-0.7856,1.3247,-1.1256,-0.3811,0.849,-1.2327,-0.0439,-0.4813,-1.0606
-1.2599,-0.1721,-1.0641,-0.6656,-1.3043,0.2031,0.7743,0.107,0.1974,-0.0512,0.5014,-0.4884,-0.5276,-1.0652,-0.5558,-0.5045,-0.6027,0.5129,-0.8967,-0.282,-1.497,-0.4647,-0.3592,0.7972,0.8717,-2.3782,-0.4887,0.6003,-1.785,0.9489,-0.9982,0.6934,0.0189,-0.809,-0.1397,0.4453,0.5005,-0.0209,0.564,-1.505,-0.701,0.516,0.462,-0.8412,-0.1433,-0.522,0.1984,-0.0127,-0.3523
-0.8367,-0.8934,-0.2056,0.2272,-1.4613,0.0635,-0.7949,0.4631,-0.864,-0.4835,-1.1324,-1.7254,-0.24,-1.3658,-0.6437,-0.0741,-0.399,-0.5393,-0.5969,-0.4516,-1.0996,-0.3145,1.5528,0.06,0.6913,-0.0672,-0.1607,0.1641,-1.7504,0.3773,-0.7696,1.0912,-1.6301,-0.9486,-0.0616,0.1769,0.6547,-0.9773,-0.7438,-1.4524,-0.685,0.3533,-0.4488,-1.1077,0.0846,0.7005,0.3215,-0.2054,-0.8241
-0.103,-0.9465,-0.4907,0.8723,-0.278,0.63,-1.2639,0.3101,-0.81,-0.9428,-0.8501,-0.0214,-0.4088,-1.0941,0.517,-0.7176,-0.1283,-1.2855,-1.0749,0.0928,-1.2848,-1.659,2.3043,-0.8201,-0.0108,0.1756,-1.7132,-0.8791,-1.2628,-0.9,0.183,1.6524,-1.5688,-0.8094,-0.8186,-0.5674,-1.4764,-1.3505,-1.2711,0.8233,-1.6665,0.9579,-1.3872,-0.8894,-0.9765,1.3308,1.7778,-1.1508,-0.4937
