"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
-0.6004,0.4578,-0.3083,-0.1474,-0.796,0.0116,0.1788,0.1526,-0.3864,-1.0117,-0.1065,0.6385,-0.7089,0.8113,-0.4712,-0.9943,-0.0062,-1.3985,-0.5,-0.6563,-0.3399,-1.2165,-0.2736,-1.6421,-1.2143,0.2833,-1.975,-1.1501,0.0967,-1.6223,1.2176,-0.9276,-1.1879,0.7004,0.3302,-0.3239,-0.3338,0.7607,-0.0832,-0.8749,-0.4401,-1.2957,0.5457,-0.9151,-0.4707,0.189,0.1494,-0.1318,1.2081
0.0363,-0.0627,-1.1432,-0.1509,0.3187,0.1844,-0.4895,0.234,-0.345,-1.0778,-0.5895,1.0023,-0.4355,0.9758,0.3739,-0.5826,-0.0434,-1.6131,-0.4326,-0.0266,-0.3376,-0.9491,0.8709,-1.0215,0.0469,0.7117,-0.9125,-1.1464,-0.4247,-0.8601,0.1212,0.4956,-1.1918,0.2202,-0.2453,-0.7334,-1.4087,1.5883,0.3349,-0.7507,-0.258,-0.6009,0.5588,0.6535,-0.4032,1.3241,1.8995,0.0552,0.907
0.5772,-0.4151,-0.6121,-0.061,0.1229,-0.1038,-0.171,-0.3542,-0.7644,-1.3338,0.0941,0.436,-0.805,-0.0488,0.7346,-0.5832,0.3321,-1.05,-0.2035,0.3023,1.5939,0.3578,-0.3821,-0.0027,1.1675,0.5545,0.9937,-0.1223,-0.7397,-1.0124,0.0037,-0.0617,-0.3867,0.0414,-0.8755,0.9131,-0.4204,1.7899,-0.2143,0.2955,-0.3967,-0.7857,1.2929,0.5377,0.3527,-0.4576,1.0195,-1.8274,-0.463
-0.0793,-1.1014,0.3384,-0.2469,-0.2506,0.4326,-0.1878,-0.5049,-0.65,-0.9103,-0.2286,-0.8281,-1.4254,0.2004,0.3427,0.1753,0.4658,-0.795,0.2973,-0.3237,1.9584,0.4285,-1.29,-0.4047,1.7482,-0.0503,1.199,0.1441,0.4173,-0.9108,-0.6066,-1.2545,0.6126,0.2199,-0.5667,0.5245,-0.1996,1.1046,0.6528,0.0488,-0.3743,-0.8967,1.519,0.6498,-0.4491,-1.412,1.1286,-1.2852,-1.561
0.0487,-0.5208,0.0201,-0.3841,-1.3615,1.1779,-0.0597,-0.5394,-0.7508,-0.9091,0.8282,-0.5352,-0.8392,0.853,-0.1789,0.6761,0.2338,-1.0226,-0.1987,-0.2903,1.9197,-0.093,-1.8662,-0.8334,0.6165,-0.9765,1.4616,-0.2117,1.0468,-0.2342,-0.2607,-1.8891,0.7063,1.0088,0.4279,0.2137,0.1122,0.601,1.1819,0.4675,-0.3861,-1.0246,1.5546,0.9447,-0.4781,-0.943,1.1475,-0.2972,-1.0276
-0.2959,-0.1715,0.4515,-0.704,-1.5668,1.1181,-0.279,-1.2012,-0.0441,-0.6423,1.0781,-0.4205,-1.2256,0.7992,-0.4973,-0.4221,0.7209,-0.6452,-0.031,-0.4131,2.4751,0.2522,-2.234,-1.2324,-0.2005,-1.1058,1.2869,-0.7339,1.8637,-0.714,0.896,-2.3172,0.6593,-0.474,1.8183,-0.5906,0.1973,0.462,1.5747,-0.1124,-0.7608,-1.3801,1.2017,1.0621,-1.2449,-0.9878,0.2936,0.8868,0.8016
-0.0741,0.5414,0.068,-0.6718,-0.5931,0.9121,-0.3659,-1.4129,0.6389,-0.4625,-0.2008,1.0787,-0.4852,1.2291,0.543,-0.9185,0.6664,-0.3769,0.065,0.2104,1.6984,0.7307,-0.772,-0.8324,0.4033,0.2866,1.4821,-0.4511,1.4805,-0.864,1.0958,0.257,0.2893,-0.5367,1.7934,-0.4759,-0.5139,-0.2645,0.574,0.4373,-0.2384,-1.5009,0.0793,2.4402,-1.0934,-0.2204,-0.779,0.9327,0.295
0.4386,0.4776,1.4297,0.1805,-0.9231,1.0732,1.6659,-1.3865,0.4147,-0.5321,0.0664,1.9757,0.1431,1.1649,0.3999,-1.0689,1.3118,1.9607,0.7486,-0.2159,1.2403,1.3821,-0.17,-0.7237,-0.2726,0.5381,-0.25,-0.1007,2.1249,-0.0125,0.9552,0.3008,-0.1118,0.2936,1.4609,0.4565,0.4432,-1.2904,1.0444,1.0764,0.121,-0.5589,-0.0332,1.9687,-0.2734,-1.5261,-1.5033,1.7641,0.2038
0.9245,-0.0317,0.5052,0.3688,0.2909,0.461,-0.0094,-0.8572,-1.0242,0.6532,0.6095,0.1058,0.2626,-0.3987,0.828,0.2292,-0.6644,1.3462,-0.0486,0.1218,1.4923,-0.4014,-1.1254,0.6908,-0.5143,0.3245,1.3218,1.0478,1.2189,0.9095,-0.2377,0.2034,-0.017,0.7565,-0.1534,0.3792,0.1821,-0.4774,-0.4628,-0.3463,0.4926,-0.6194,0.4752,0.6516,0.1979,-0.456,-1.2148,0.8955,1.1802
-0.4602,-1.0592,1.1006,0.2574,-0.5404,0.5415,-0.2481,-0.3396,-0.8314,0.5082,0.6913,-0.8044,0.9383,-0.5833,-0.4351,0.5977,0.7979,-0.1542,-1.1673,-1.1507,0.5879,0.2901,-0.4623,0.5026,-0.9807,0.0643,0.971,0.4473,0.4279,1.5406,0.1124,-0.541,-0.0428,-0.3153,-0.9462,-1.178,1.1622,0.1187,0.1264,-1.0918,0.9252,0.2668,0.8345,-1.0921,-0.4692,0.2007,-1.7485,1.4724,0.2397
