"IC05","IC08","IC09","IC15","IC16","IC17","IC18","IC19","IC20","IC23","IC24","IC26","IC27","IC29","IC31","IC33","IC36","IC37","IC38","IC41","IC42","IC43","IC44","IC45","IC46","IC47","IC48","IC49","IC50","IC51","IC54","IC56","IC58","IC60","IC62","IC63","IC64","IC65","IC66","IC67","IC68","IC69","IC71","IC72","IC73","IC74","IC75","IC76","IC77"
0.0167,-0.0062,0.4615,0.3885,-0.2305,-1.1285,-0.8934,-0.1553,-0.5572,-0.5206,-0.4118,0.0371,0.1009,0.2686,0.0967,-0.1496,-0.0289,0.4391,-1.3571,-1.551,1.2632,0.0157,0.5825,0.6893,0.0851,-0.7919,0.3984,0.0456,-0.1077,-0.017,-0.4242,-0.071,-0.7813,-0.2519,0.238,-0.418,0.6551,0.0269,-0.0205,-0.0678,-0.0508,-0.1584,-1.0613,0.7309,0.4038,0.2437,0.8283,0.5794,0.0652
1.251,0.4898,0.6035,0.6573,-0.183,-0.8238,-0.3266,0.2924,-1.329,-0.2818,0.5451,-0.5213,0.9651,0.1112,0.3106,0.1448,-1.2748,-1.1884,-0.6983,-1.401,0.6365,-1.252,-0.1081,-0.3243,-0.5449,0.4941,-0.3193,1.309,0.9688,0.5652,-0.1649,-0.3237,-1.1527,0.0835,-0.0839,0.0736,0.3621,0.2492,0.4448,0.7017,-0.2824,-1.083,0.0519,0.9467,-0.6611,-0.2791,0.8497,0.5033,-0.1555
1.0456,0.4799,0.9152,0.6917,-0.8995,-1.1166,-0.8043,-0.0625,-1.4839,-0.6117,1.1213,-1.1737,0.377,0.6669,0.3834,0.0638,-1.5906,-0.5381,-1.1594,-2.9266,0.5055,-0.7047,0.6218,-0.9011,0.0009,-1.0247,-0.8275,0.7184,1.4189,0.4848,0.8731,-0.3948,-1.3596,-1.0145,-0.0488,0.1966,-0.4391,1.1375,0.7126,0.7284,0.1593,-0.4734,0.1014,1.2807,-1.2707,-0.5419,0.1801,0.5778,-0.1441
0.3663,0.7547,0.446,0.2989,-0.971,-0.9297,0.5264,-0.0245,-0.931,-0.5939,1.1919,-0.9385,-0.006,-0.2266,0.7441,-0.1316,-2.6954,-1.4826,-1.0497,-1.0927,-0.2697,-1.0823,1.2795,-0.8353,-0.5664,0.7445,-0.1257,1.2309,0.6506,0.7606,-0.1887,-0.0825,-0.9087,-0.3561,-0.3746,0.4493,0.5491,0.469,0.6526,0.5204,-0.294,-1.6731,0.7252,1.0492,-0.798,0.4929,0.0859,0.8225,0.8791
0.7709,0.3436,-0.1498,-0.7492,-1.5815,-1.8228,0.1104,0.3609,-0.4237,-1.0006,0.8146,-1.374,-1.2898,-0.2442,0.7664,-0.9955,-0.9299,-0.2394,-1.1963,-0.8648,1.2499,0.3161,0.3002,-0.521,0.4956,0.8399,0.4591,-0.032,1.0567,0.5711,-1.3548,-1.2161,-0.7025,-1.6622,-0.0329,0.3363,0.7262,0.8903,0.8995,0.3364,-0.2042,0.017,0.4527,0.3545,-0.2005,-0.4158,-0.0701,0.9803,1.3134
-0.0912,-0.2648,-0.8781,-1.0712,-0.9475,0.2244,-0.3348,0.1334,0.2618,-0.366,-0.0603,-1.0145,-1.2281,-0.1151,-0.471,-0.3359,-0.0218,-1.1034,-1.4766,-0.1458,0.1842,-0.0836,0.0579,-0.0693,0.399,1.0208,0.9538,-0.3179,0.074,0.3221,-1.7057,0.2062,0.1921,-1.2478,0.0343,-0.2251,1.0238,0.3552,0.8764,-0.6731,-0.0054,0.6388,0.2888,0.0485,0.8475,0.5506,0.9218,0.6848,1.3778
0.7307,-0.5785,-0.514,-0.9558,0.3195,0.8284,-0.0311,0.4434,0.0542,-0.0006,0.0035,0.1064,-1.2314,-0.1441,-0.6349,-0.7086,-0.0131,-0.3843,-0.12,0.595,0.2897,0.7722,-0.7338,-0.0014,0.8586,1.2073,0.4368,-1.1273,-0.5899,-0.4547,-0.4655,0.227,-0.1982,0.0102,-0.5031,-0.3164,0.2404,0.7085,0.4031,-0.6908,0.4392,-0.0215,1.1126,-0.2609,0.5204,1.2696,1.5199,0.0994,1.3672
-0.7891,-1.0106,-0.1828,-0.4743,0.0327,1.9145,-1.767,0.0094,0.3943,-0.3431,-0.5362,-0.3803,-0.5444,-0.0032,-0.8075,0.3007,1.5323,-0.2118,-0.1699,-0.0544,0.6647,0.3601,-0.7412,0.2998,1.0916,-0.1339,0.0214,-0.8101,-1.1522,0.0727,0.7412,-0.2247,0.0196,-0.7007,-0.5453,-0.1963,0.3607,0.1969,0.1892,-0.5385,0.4732,0.3384,0.3553,-0.9799,1.1604,0.035,0.3035,-0.6902,-0.1311
-0.7081,-0.3728,-0.2098,-0.3006,0.3763,0.5108,-0.1397,0.0031,-0.2985,0.1211,-0.3388,-0.1465,0.2289,-0.7679,0.2299,0.2029,0.5428,-0.7927,-0.6881,-0.0912,-0.2414,-0.7972,-1.6223,-0.2023,-0.144,1.3726,0.0546,-0.2039,-0.7743,0.1406,-0.0277,-0.5585,-0.9046,0.1529,-0.803,-0.5419,0.2804,0.2565,0.7773,-0.2566,0.178,-1.0643,0.8098,-0.3621,1.5032,0.198,1.0943,-0.6508,0.6778
-0.2756,-0.2905,0.2309,0.0253,1.3656,-0.9329,0.2269,0.1782,-0.1169,-0.7794,0.1357,-0.1094,0.2838,-0.2612,0.887,0.3382,0.8395,1.1198,-0.6601,-1.3061,1.0721,0.8513,-0.1997,-0.6318,0.3942,-0.1067,-0.1279,-0.0855,-0.1054,-0.3181,-1.1766,0.0834,-0.9881,0.1554,-0.2687,-0.3475,-0.4535,0.7413,1.08,-0.0499,0.61,-0.7633,0.2924,0.4043,0.902,0.2112,0.6609,-0.3818,0.3293
-0.7381,-0.0862,0.3533,0.6968,1.3003,0.0424,-0.6019,0.0801,-0.1777,-1.6428,-0.7761,-0.2317,0.7287,-0.7123,0.5152,1.3638,0.2655,0.0655,-0.3998,-1.6206,0.9602,0.3382,0.0882,-0.6139,-0.6482,-1.0427,-0.4185,0.4053,0.3326,-0.0559,-1.2136,0.5785,0.1934,-0.0174,-0.7257,-0.7553,0.0674,-0.3866,0.67,-0.1031,0.2102,-0.4085,-0.7027,0.6058,0.371,0.1509,0.4169,-0.2552,-0.1171
-0.9252,0.5126,0.1837,0.5742,0.4204,-0.5355,-0.4015,-0.3745,-0.6645,-0.9325,-0.4509,-0.3894,0.7453,-1.2223,0.5846,0.6904,-0.0601,-1.4588,-0.0937,-0.7377,0.279,-0.0152,0.0607,0.4824,-1.563,0.2848,0.5653,0.211,0.3669,0.3549,-0.5584,-0.8895,-0.4024,0.9057,-0.4289,-0.4581,0.1685,-0.5888,0.4598,-0.3639,0.2642,-0.3786,-0.3704,0.4648,0.1839,-0.3845,0.5642,0.4109,0.5461
-0.2489,0.452,-0.3516,0.0095,0.3362,-0.0578,0.538,-0.3277,-0.1099,-0.0607,-0.6859,0.1977,-0.2827,-0.5968,0.516,-0.1358,0.1649,0.3428,-0.6192,-0.2691,0.3478,1.0512,0.3375,1.0886,1.1214,-0.483,0.789,-0.6766,0.0839,0.523,-1.2427,-0.1614,0.2451,-0.2086,-0.0333,-0.9916,0.016,-0.6644,0.9521,-0.1005,0.4295,0.4434,-0.5756,0.371,0.8974,0.5125,0.068,0.3866,1.2226
-1.115,-0.0483,-1.1507,-0.5187,-0.5133,0.4044,0.4033,0.8397,-0.5321,0.428,-0.5247,-0.6434,-0.0475,-0.8672,-0.9118,0.0369,0.4302,-0.7817,-1.2304,0.1632,-0.1774,0.1763,-0.3773,1.0722,0.5735,-0.5086,0.7822,-0.0996,-0.5047,0.3407,-1.9457,-0.0063,0.7519,-1.1074,0.3246,-0.5239,1.0796,-0.7582,1.0342,-0.4457,0.1077,-0.3089,-0.3433,-0.1198,2.8939,-0.5449,-0.6037,0.1287,0.8872
-0.1171,-0.4969,-0.6063,-0.607,-0.3707,-1.5843,0.4551,0.2215,-0.3738,0.0584,0.3194,-0.2606,-0.6589,-1.1007,-0.9872,-1.1095,0.2793,-0.3341,-0.1679,-0.9437,0.8487,0.546,-0.2075,-0.107,-0.1628,-0.2421,0.105,-1.312,-0.2612,0.0557,-1.6016,-0.909,0.0489,-1.0351,-0.3411,-0.9801,-0.0243,0.5125,1.2429,-1.155,0.324,-1.2349,0.657,0.0546,1.3475,-0.0682,0.4114,-0.3785,1.0926
-0.0988,-0.8006,-0.0178,-0.5123,-0.211,0.2181,-0.3153,0.0337,-0.1182,-1.2848,-0.3478,-0.5779,-0.4537,-1.7625,-0.9322,-0.4709,-0.4766,-1.0334,0.3239,-1.3878,-0.2304,-0.1101,0.5186,-1.0163,-0.9454,-1.1155,-0.445,-0.4135,0.0949,-0.0086,-0.9438,0.2159,0.7832,-1.1871,0.4473,-0.5606,0.3191,0.4099,0.2852,-0.9407,-0.0026,-0.3948,0.2945,0.0431,0.2795,0.405,-0.1302,-0.6336,-0.2135
0.9842,-0.6819,-0.1948,-0.2505,0.2176,0.0252,-0.4549,-0.0195,-0.9693,-0.2282,0.0994,-0.4409,0.1197,-1.0989,-0.3295,-0.0889,-0.9445,-1.1851,0.3738,-0.6365,-0.3718,-0.0846,-0.3407,-1.1211,-2.1861,-0.4246,-0.402,0.4923,0.7986,-0.4337,0.0235,-0.5576,0.1715,-0.2981,-0.5193,0.2457,-0.3513,0.6275,-0.1435,-0.1373,0.0903,-0.7472,0.6703,-0.1193,0.066,-0.366,-0.0268,-0.6184,-0.6024
-0.2137,-0.208,0.2591,0.2616,0.1963,0.9854,-0.2522,-0.7125,-0.8506,-1.3588,-0.2119,-0.2446,0.7409,-0.7576,0.2938,0.943,-0.0711,-1.1314,-0.6288,-0.9463,-0.2844,-0.677,0.4206,-0.974,-1.2048,-1.1178,-0.8011,0.7965,0.2526,-0.0305,-0.0099,0.7512,0.1436,-0.0717,-0.9973,-0.0918,-0.5827,0.058,-0.2993,0.5604,-0.4292,0.5618,-0.1831,-0.1054,-0.3756,0.264,-0.3221,-0.6057,-0.9309
0.4049,0.2446,0.3235,0.2974,0.3895,-1.1109,1.006,-0.7986,-0.4964,-0.3917,0.822,0.6924,0.4514,-1.0397,1.3063,-0.1824,-0.7699,-0.4658,-0.1682,-0.4689,0.2899,-0.5136,1.2368,-0.4652,-1.2207,1.0817,0.3344,0.7088,0.0654,-0.2388,-0.455,0.6456,-0.2897,0.693,-0.6222,0.0031,-0.1753,0.7831,-0.3389,0.7372,-0.4269,0.8293,0.2285,0.1009,-0.4282,0.7247,-0.232,-0.1961,0.1919
0.4228,0.2352,-0.5075,0.0537,0.2566,0.4267,0.3871,-0.6533,-0.0189,1.1436,1.0695,0.9374,0.0865,0.0023,0.6094,-0.4359,-0.4281,-0.4456,-0.1828,1.1773,1.0433,-0.3394,0.3518,0.931,-0.3606,1.4202,1.1699,0.253,-0.212,-0.1322,0.5138,0.043,0.0523,0.9239,0.4608,-0.4642,0.5682,0.3517,-0.8041,0.3107,-0.7069,0.0796,0.1642,-0.6141,0.6984,0.2941,-0.8356,-0.1114,0.1982
0.4586,-0.7814,-0.9361,0.1027,1.2021,1.045,0.6099,0.2776,1.1122,1.1543,-0.4044,0.8981,-0.3964,0.4029,-0.1321,-0.584,-0.8305,-0.2133,0.7016,1.5333,-0.7612,0.1433,0.2721,0.2821,0.1184,0.7429,0.5617,-0.2243,-0.8588,-0.2552,0.2022,1.4808,1.2221,0.4278,1.1352,-1.083,-0.7238,-0.2041,-1.2499,-0.7926,-0.9829,0.1802,0.0125,-0.6226,-0.2956,0.4204,-0.6334,-0.7361,0.6811
0.7494,-1.1145,-0.2898,-0.0152,1.3632,0.6782,-0.1904,1.0643,1.718,0.9541,-1.3016,0.5202,-0.491,0.1328,-0.4203,-0.27,0.956,1.2487,0.9553,1.4596,-0.6059,1.2406,0.5288,0.298,1.3029,-0.7621,-0.6773,-0.5864,-0.5508,-0.5228,0.3741,1.0104,1.5405,-0.7017,1.0783,-0.9886,-0.9914,-0.1873,-1.3515,-1.436,-0.9694,1.9161,-0.6394,-0.5533,-1.0303,0.035,-1.0127,-0.517,-0.4495
